ILN	ELN	Name der Einrichtung	ISIL
0092	0033	Landesbibliothek Mecklenburg-Vorpommern (LBMV), Schwerin	DE-33
0095	3095	HS Merseburg	DE-542
0095	3095/0001	Hochschule  Merseburg	DE-542
0096	3096	Hamburger Gerichtsbibliotheken	--
0096	3096/0001	Gerichtsbibliothek Lübeckertordamm	DE-H358
0096	3096/0002	Landessozialgericht und Sozialgericht Hamburg, Bibliothek 	DE-H123
0096	3096/0003	Landesarbeitsgericht und Arbeitsgericht Hamburg, Bibliothek und Tarifvertragssammlung	DE-H359
0096	3096/0004	Hanseatisches Oberlandesgericht, Bibliothek	DE-H50
0096	3096/0005	Land- und Amtsgericht Hamburg, Bibliothek	DE-H42
0098	3402	Hochschule für Musik Franz Liszt, Hochschulbibliothek, Weimar  	DE-Wim8
0099	3099	Norddeutsche HS für Rechtspflege, Hildesheim	--
0100	3100	Otto-von-Guericke-Universität, Universitätsbibliothek Magdeburg	 DE-Ma9 
0100	3100/0001	Otto-von-Guericke-Universität, FB Erziehungswissenschaften, Magdeburg	--
0101	3101	Otto-von-Guericke-Universität, Universitätsbibliothek, Medizinische Zentralbibliothek (MZB), Magdeburg	DE-Ma14 
0101	3101/0045	Leibniz-Institut für Neurobiologie, Wissenschaftliche Bibliothek, Magdeburg  	DE-Ma45
0104	0068	Schleswig-Holsteinische Landesbibliothek (LB) Kiel	DE-68
0105	0841	Zentrale Hochschulbibliothek (ZHSB) Lübeck	DE-841
0110	3110	Leuphana Universität Lüneburg, Medien- und Informationszentrum, Universitätsbibliothek Lüneburg	DE-Luen4
0111	0961/0006	Hochschule 21, Buxtehude	DE-963
0113	3113	Staatsarchiv Hamburg	DE-2089
0114	3114	Akademie der Polizei, Hamburg	DE-18-301
0118	3329	Hochschule Anhalt , Hochschulbibliothek (HSB)  Anhalt	DE-Kt1
0118	3329/0004	Stiftung Bauhaus Dessau, Bibliothek 	DE-De15
0119	3119	Thür. Behördenbibl. Erfurt	
0119	3119/0001	Thüringer Ministerium für Bildung, Wissenschaft und Kultur, Bibliothek, Erfurt 	DE-Ef28
0119	3119/0002	Bibliothek des  Thüringer Landtags	DE-2500
0119	3119/0003	Bibliothek des Thüringer Justizministeriums	
0119	3119/0004	Bibliothek der Thüringer Staatskanzlei	DE-4078
